propertyType,buildingName,longitude,latitude,address,priceunits.price,bedroomsunits.beds,city
,,-122.37893,,"7568 37th Ave SW, Seattle, WA 98126",0.0,0.0, Seattle
,,-122.35493,,"9030 Greenwood Ave N #203, Seattle, WA 98103",0.0,0.0, Seattle
,Sentral First Hill,-122.3244,,"1001 Minor Ave, Seattle, WA",0.0,0.0, Seattle
,Sentral First Hill,-122.3244,,"1001 Minor Ave, Seattle, WA",0.0,0.0, Seattle
,Sentral First Hill,-122.3244,,"1001 Minor Ave, Seattle, WA",0.0,0.0, Seattle
,Ballard 57,-122.38033,,"1731 NW 57th St, Seattle, WA",0.0,0.0, Seattle
,,-122.319824,,"Evolve, 954 E Union St #314, Seattle, WA 98122",0.0,0.0, 954 E Union St #314
,Aura West Seattle,-122.37616,,"4435 35th Ave SW, Seattle, WA",0.0,0.0, Seattle
,Aura West Seattle,-122.37616,,"4435 35th Ave SW, Seattle, WA",0.0,0.0, Seattle
,Aura West Seattle,-122.37616,,"4435 35th Ave SW, Seattle, WA",0.0,0.0, Seattle
,The Redwood,-122.30514,,"111 21st Ave E, Seattle, WA",0.0,0.0, Seattle
,,-122.327065,,"Belroy Apartments, 711 Bellevue Ave E APT 408, Seattle, WA 98102",0.0,0.0, 711 Bellevue Ave E APT 408
,Pratt Park Apartments,-122.30841,,"1800 S Jackson St, Seattle, WA",0.0,0.0, Seattle
,Pratt Park Apartments,-122.30841,,"1800 S Jackson St, Seattle, WA",0.0,0.0, Seattle
,Pratt Park Apartments,-122.30841,,"1800 S Jackson St, Seattle, WA",0.0,0.0, Seattle
,Lawrence Lofts,-122.30763,,"1818 E Madison St, Seattle, WA",0.0,0.0, Seattle
,,-122.32579,,"Kam Lo Apartments, 221 Summit Ave E APT 9, Seattle, WA 98102",0.0,0.0, 221 Summit Ave E APT 9
,Emerson Seattle,-122.3178,,"125 Boren Ave S, Seattle, WA",0.0,0.0, Seattle
,Emerson Seattle,-122.3178,,"125 Boren Ave S, Seattle, WA",0.0,0.0, Seattle
,Emerson Seattle,-122.3178,,"125 Boren Ave S, Seattle, WA",0.0,0.0, Seattle
,Joseph Arnold Lofts,-122.35216,,"62 Cedar St, Seattle, WA",0.0,0.0, Seattle
,Joseph Arnold Lofts,-122.35216,,"62 Cedar St, Seattle, WA",0.0,0.0, Seattle
,Joseph Arnold Lofts,-122.35216,,"62 Cedar St, Seattle, WA",0.0,0.0, Seattle
,Dunn Motors Apartments,-122.325356,,"1430 Summit Ave, Seattle, WA",0.0,0.0, Seattle
,Linden Flats,-122.34697,,"13280 Linden Ave N, Seattle, WA",0.0,0.0, Seattle
,Linden Flats,-122.34697,,"13280 Linden Ave N, Seattle, WA",0.0,0.0, Seattle
,Linden Flats,-122.34697,,"13280 Linden Ave N, Seattle, WA",0.0,0.0, Seattle
,,-122.32728,,"Capitol Steps Apartments & Furnished Suites, 1633 Bellevue Ave, Seattle, WA 98122",0.0,0.0, 1633 Bellevue Ave
,The Broadway Building,-122.32039,,"1641 Nagle Pl, Seattle, WA",0.0,0.0, Seattle
,The Broadway Building,-122.32039,,"1641 Nagle Pl, Seattle, WA",0.0,0.0, Seattle
,The Broadway Building,-122.32039,,"1641 Nagle Pl, Seattle, WA",0.0,0.0, Seattle
,ALLEY SOUTH LAKE UNION,-122.3314,,"241 Yale Ave N, Seattle, WA",0.0,0.0, Seattle
,Keelson Ballard,-122.37803,,"1537 NW 56th St, Seattle, WA",0.0,0.0, Seattle
,Greenhouse Apartments,-122.28572,,"3701 S Hudson St, Seattle, WA",0.0,0.0, Seattle
,Greenhouse Apartments,-122.28572,,"3701 S Hudson St, Seattle, WA",0.0,0.0, Seattle
,Rollin Street Flats,-122.33795,,"120 Westlake Ave, Seattle, WA",0.0,0.0, Seattle
,Rollin Street Flats,-122.33795,,"120 Westlake Ave, Seattle, WA",0.0,0.0, Seattle
,Prism,-122.3211,,"10711 8th Ave NE, Seattle, WA",0.0,0.0, Seattle
,Prism,-122.3211,,"10711 8th Ave NE, Seattle, WA",0.0,0.0, Seattle
,Odessa,-122.32183,,"3120 Harvard Ave E, Seattle, WA",0.0,0.0, Seattle
,,-122.3263,,"The Illiad, 112 Bellevue Ave E #100, Seattle, WA 98102",0.0,0.0, 112 Bellevue Ave E #100
,,-122.31985,,"918 E John St FLOOR 6-ID126, Seattle, WA 98102",0.0,0.0, Seattle
,Onni South Lake Union,-122.3356,,"112 Boren Ave N, Seattle, WA",0.0,0.0, Seattle
,Onni South Lake Union,-122.3356,,"112 Boren Ave N, Seattle, WA",0.0,0.0, Seattle
,Onni South Lake Union,-122.3356,,"112 Boren Ave N, Seattle, WA",0.0,0.0, Seattle
,,-122.345955,,"930 N 104th St APT 7, Seattle, WA 98133",0.0,0.0, Seattle
,Leilani Apartment Homes,-122.356544,,"10215 Greenwood Ave N, Seattle, WA",0.0,0.0, Seattle
,Leilani Apartment Homes,-122.356544,,"10215 Greenwood Ave N, Seattle, WA",0.0,0.0, Seattle
,Vive,-122.377045,,"1516 NW 51st St, Seattle, WA",0.0,0.0, Seattle
,Vive,-122.377045,,"1516 NW 51st St, Seattle, WA",0.0,0.0, Seattle
,,-122.30025,,"109 25th Ave E #102, Seattle, WA 98112",0.0,0.0, Seattle
,Cubix North Park,-122.345566,,"1008 N 109th St, Seattle, WA",0.0,0.0, Seattle
,The Central,-122.3032,,"2203 E Union St, Seattle, WA",0.0,0.0, Seattle
,The Central,-122.3032,,"2203 E Union St, Seattle, WA",0.0,0.0, Seattle
,O2,-122.34654,,"2401 3rd Ave, Seattle, WA",0.0,0.0, Seattle
,O2,-122.34654,,"2401 3rd Ave, Seattle, WA",0.0,0.0, Seattle
,O2,-122.34654,,"2401 3rd Ave, Seattle, WA",0.0,0.0, Seattle
,Theo,-122.319176,,"815 NE 66th St, Seattle, WA",0.0,0.0, Seattle
,Upton Flats,-122.37612,,"3490 SW Graham St, Seattle, WA",0.0,0.0, Seattle
,Upton Flats,-122.37612,,"3490 SW Graham St, Seattle, WA",0.0,0.0, Seattle
,Rubix,-122.32218,,"515 Harvard Ave E, Seattle, WA",0.0,0.0, Seattle
,Rubix,-122.32218,,"515 Harvard Ave E, Seattle, WA",0.0,0.0, Seattle
,Ivy Ridge Apartments,-122.30493,,"4730 21st Ave NE, Seattle, WA",0.0,0.0, Seattle
